Xl,Yl,Xr,Yr,Al,Ar,A,C,Ok,Distancia(mm)
200,450,200,150,1,1,1,1,1,21.4472
200,450,200,250,1,1,1,1,1,29.7132
200,450,200,350,1,1,1,0,0,3.65735
200,450,200,450,1,1,1,0,0,4.50E-05
200,450,300,-450,1,1,1,1,1,29.863
200,450,300,-350,1,1,1,1,1,29.9891
200,450,300,-250,1,1,1,1,1,29.6838
200,450,300,-150,1,1,1,1,1,29.7628
200,450,300,-50,1,1,1,1,1,29.7099
200,450,300,50,1,1,1,1,1,29.8448
200,450,300,150,1,1,1,1,1,29.2269
200,450,300,250,1,1,1,1,1,29.7675
200,450,300,350,1,1,1,1,1,29.7569
200,450,300,450,1,0,0,1,0,29.7569
200,450,400,-450,1,1,1,1,1,29.7333
200,450,400,-350,1,1,1,1,1,29.7683
200,450,400,-250,1,1,1,1,1,29.7619
200,450,400,-150,1,1,1,1,1,29.6998
200,450,400,-50,1,1,1,1,1,29.6834
200,450,400,50,1,1,1,1,1,29.858
200,450,400,150,1,1,1,1,1,29.0636
200,450,400,250,1,1,1,1,1,29.7241
200,450,400,350,1,1,1,1,1,29.8905
200,450,400,450,1,0,0,1,0,29.8905
200,450,500,-450,1,1,1,1,1,29.6944
200,450,500,-350,1,1,1,1,1,29.7689
200,450,500,-250,1,1,1,1,1,29.71
200,450,500,-150,1,1,1,1,1,29.717
200,450,500,-50,1,1,1,1,1,29.7115
200,450,500,50,1,1,1,1,1,29.7825
200,450,500,150,1,1,1,1,1,28.7584
200,450,500,250,1,1,1,1,1,29.7569
200,450,500,350,1,0,0,1,0,29.7569
200,450,500,450,1,0,0,1,0,29.7569
200,450,600,-450,1,0,0,1,0,29.7569
200,450,600,-350,1,1,1,1,1,29.6926
200,450,600,-250,1,1,1,1,1,29.7247
200,450,600,-150,1,1,1,1,1,29.6714
200,450,600,-50,1,1,1,1,1,30.0435
200,450,600,50,1,1,1,1,1,29.0819
200,450,600,150,1,1,1,1,1,29.7198
200,450,600,250,1,0,0,1,0,29.7198
200,450,600,350,1,0,0,1,0,29.7198
200,450,600,450,1,0,0,1,0,29.7198
300,-450,200,-450,0,1,0,1,0,29.8201
300,-450,200,-350,0,1,0,1,0,30.0612
300,-450,200,-250,0,1,0,1,0,29.7488
300,-450,200,-150,0,1,0,1,0,29.9904
300,-450,200,-50,0,1,0,1,0,29.7447
300,-450,200,50,0,1,0,1,0,30.0055
300,-450,200,150,0,1,0,1,0,21.4472
300,-450,200,250,0,1,0,1,0,29.7132
300,-450,200,350,0,1,0,0,0,3.65735
300,-450,200,450,0,1,0,0,0,4.50E-05
300,-450,300,-450,0,1,0,1,0,29.863
300,-450,300,-350,0,1,0,1,0,29.9891
300,-450,300,-250,0,1,0,1,0,29.6838
300,-450,300,-150,0,1,0,1,0,29.7628
300,-450,300,-50,0,1,0,1,0,29.7099
300,-450,300,50,0,1,0,1,0,29.8448
300,-450,300,150,0,1,0,1,0,29.2269
300,-450,300,250,0,1,0,1,0,29.7675
300,-450,300,350,0,1,0,1,0,29.7569
300,-450,300,450,0,0,0,1,0,29.7569
300,-450,400,-450,0,1,0,1,0,29.7333
300,-450,400,-350,0,1,0,1,0,29.7683
300,-450,400,-250,0,1,0,1,0,29.7619
300,-450,400,-150,0,1,0,1,0,29.6998
300,-450,400,-50,0,1,0,1,0,29.6834
300,-450,400,50,0,1,0,1,0,29.858
300,-450,400,150,0,1,0,1,0,29.0636
300,-450,400,250,0,1,0,1,0,29.7241
300,-450,400,350,0,1,0,1,0,29.8905
300,-450,400,450,0,0,0,1,0,29.8905
300,-450,500,-450,0,1,0,1,0,29.6944
300,-450,500,-350,0,1,0,1,0,29.7689
300,-450,500,-250,0,1,0,1,0,29.71
300,-450,500,-150,0,1,0,1,0,29.717
300,-450,500,-50,0,1,0,1,0,29.7115
300,-450,500,50,0,1,0,1,0,29.7825
300,-450,500,150,0,1,0,1,0,28.7584
300,-450,500,250,0,1,0,1,0,29.7569
300,-450,500,350,0,0,0,1,0,29.7569
300,-450,500,450,0,0,0,1,0,29.7569
300,-450,600,-450,0,0,0,1,0,29.7569
300,-450,600,-350,0,1,0,1,0,29.6926
300,-450,600,-250,0,1,0,1,0,29.7247
300,-450,600,-150,0,1,0,1,0,29.6714
300,-450,600,-50,0,1,0,1,0,30.0435
300,-450,600,50,0,1,0,1,0,29.0819
300,-450,600,150,0,1,0,1,0,29.7198
300,-450,600,250,0,0,0,1,0,29.7198
300,-450,600,350,0,0,0,1,0,29.7198
300,-450,600,450,0,0,0,1,0,29.7198
300,-350,200,-450,1,1,1,1,1,30.1125
300,-350,200,-350,1,1,1,0,0,16.8734
300,-350,200,-250,1,1,1,0,0,30.0596
300,-350,200,-150,1,1,1,0,0,6.19685
300,-350,200,-50,1,1,1,0,0,2.23831
300,-350,200,50,1,1,1,0,0,7.14156
300,-350,200,150,1,1,1,0,0,18.3389
300,-350,200,250,1,1,1,0,0,3.17688
300,-350,200,350,1,1,1,0,0,15.0712
300,-350,200,450,1,1,1,0,0,18.1434
300,-350,300,-450,1,1,1,0,0,8.10789
300,-350,300,-350,1,1,1,0,0,4.60E-05
300,-350,300,-250,1,1,1,0,0,0.848977
300,-350,300,-150,1,1,1,0,0,5.81408
300,-350,300,-50,1,1,1,0,0,0.582301
300,-350,300,50,1,1,1,0,0,0.915497
300,-350,300,150,1,1,1,0,0,1.58721
300,-350,300,250,1,1,1,0,0,21.1571
300,-350,300,350,1,1,1,0,0,14.883
300,-350,300,450,1,0,0,0,0,14.883
300,-350,400,-450,1,1,1,1,1,12.6259
300,-350,400,-350,1,1,1,0,0,7.29609
