Gird Size,10,5,3,,,,,,,,,,,,,,,,,,
Coordenada,,,Brazo derecho,,,,,,,,Coordenada,,,Brazo izquierdo,,,,,,,
X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7,X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7
300,450,440,0,0,0,0,0,0,0,0,300,450,440,1,-49.8837,-100.0180,25.5378,87.5654,133.0420,185.3550,-14.2535
400,-450,440,1,44.0252,-81.6893,8.9727,272.9820,118.5460,-183.1560,0.0011,400,-450,440,0,0,0,0,0,0,0,0
400,-350,440,1,44.2978,-81.9375,27.6339,283.0010,117.2970,-162.2880,1.2785,400,-350,440,0,0,0,0,0,0,0,0
400,-250,440,1,53.5584,-75.0551,39.4463,289,121.0990,-139.3280,4.1129,400,-250,440,0,0,0,0,0,0,0,0
400,-150,440,1,82.7758,-63.0070,44.1857,289.7710,137.0040,-110.7710,-1.5802,400,-150,440,1,-167.5000,-6.5579,14.6594,64.2666,96.3661,89.3539,114.3130
400,-50,440,1,96.5772,-49.0570,42.1440,289,131.4590,-93.2301,-19.1034,400,-50,440,1,-56.2626,-18.8134,31.2578,61.1517,96.2212,95.0463,5.1629
400,50,440,1,102.8900,-28.3738,32.3095,289,114.1500,-87.3606,-37.9874,400,50,440,1,-50.7634,-40.3527,41.4961,60.9104,101.2260,105.4010,-0.3135
400,150,440,1,152.6730,-15.7386,15.7902,289,104.4800,-85.4213,-92.9879,400,150,440,1,-48.4768,-60.2207,44.2261,63.1071,108.2680,121.5650,-2.2671
400,250,440,0,0,0,0,0,0,0,0,400,250,440,1,-46.9867,-74.8219,39.3979,68.9797,114.8740,141.2170,-2.7044
400,350,440,0,0,0,0,0,0,0,0,400,350,440,1,-45.9994,-82.0527,27.7093,77.8305,119.0110,161.9590,-2.1205
